,,,,,,,,,,,,,,,,
"//!","Linux distribution timeline data sheet",,,,,,,,,,,,,,,
"//!","Copyright (C) 2010-2012 Donjan Rodic, Andreas Lundqvist, Mohammed A. Mustafa",,,,,,,,,,,,,,,
"//!","Copyright (C) 2016 Muhammad Herdiansyah",,,,,,,,,,,,,,,
"//!","Copyright (C) 2016-2021 Fabio Loli",,,,,,,,,,,,,,,
"//!","Maintained by Fabio Loli",,,,,,,,,,,,,,,
"//!","Design assistance - Aleksandar Urošević",,,,,,,,,,,,,,,
"//!","Original idea (“Línea del tiempo Distribuciones Linux”) - José Alex Sandoval",,,,,,,,,,,,,,,
"//!","Permission is granted to copy, distribute and/or modify this document",,,,,,,,,,,,,,,
"//!","under the terms of the GNU Free Documentation License, Version 1.3",,,,,,,,,,,,,,,
"//!","or any later version published by the Free Software Foundation;",,,,,,,,,,,,,,,
"//!","with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,,,
"//","When editing with LibreOffice Calc, load the file with “quoted field as text” turned on to prevent autoformatting.",,,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"#N","SLS","#9c8ac4",,"1992.6","1994.1",,"https://distroware.gitlab.io/os/Linux/s/sls",,,,,,,,,
"#N","Slackware","#000","SLS","1993.7.16",,"images/slackware.svg","https://distroware.gitlab.io/os/Linux/s/slackware",,,,,,,,,
"#N","S.u.S.E","#4bb679","Slackware","1994.3","1996.5",,"https://distroware.gitlab.io/os/Linux/o/opensuse",,,,,,,,,
"#N","VectorLinux","#504ca3","Slackware","2000.6.30",,,"https://distroware.gitlab.io/os/Linux/v/vectorlinux",,,,,,,,,
